"","Channel","Condition","Light_status","mean_sleep_per_ind"
"1","adj_Monitor20_ch8","57713_M_1","Day",0.806712962962963
"2","adj_Monitor72_ch25","66945_F_1","Day",0.512731481481482
"3","adj_Monitor75_ch4","55690_M_1","Day",0.727083333333333
"4","adj_Monitor67_ch6","57713_F_1","Day",0.282638888888889
"5","adj_Monitor1_ch1","67422_M_1","Day",0.872916666666667
"6","adj_Monitor60_ch21","66945_M_1","Day",0.844907407407407
"7","adj_Monitor16_ch18","67422_F_1","Day",0.487037037037037
"8","adj_Monitor1_ch28","67422_M_1","Day",0.750462962962963
"9","adj_Monitor77_ch23","64498_F_1","Day",0.468287037037037
"10","adj_Monitor6_ch2","53328_F_1","Day",0.356944444444444
"11","adj_Monitor54_ch11","82983_F_1","Day",0.580324074074074
"12","adj_Monitor5_ch10","80387_F_1","Day",0.799074074074074
"13","adj_Monitor67_ch10","57713_F_1","Day",0.417824074074074
"14","adj_Monitor60_ch24","66945_M_1","Day",0.828935185185185
"15","adj_Monitor6_ch22","53328_F_1","Day",0.438194444444444
"16","adj_Monitor59_ch15","55690_F_1","Day",1
"17","adj_Monitor8_ch12","56014_M_1","Day",0.531481481481481
"18","adj_Monitor77_ch6","64498_F_1","Day",0.410185185185185
"19","adj_Monitor8_ch29","56014_M_1","Day",0.597453703703704
"20","adj_Monitor1_ch22","67422_M_1","Day",0.9
"21","adj_Monitor2_ch1","53328_M_1","Day",0.685416666666667
"22","adj_Monitor2_ch25","53328_M_1","Day",1
"23","adj_Monitor75_ch6","55690_M_1","Day",0.67962962962963
"24","adj_Monitor72_ch24","66945_F_1","Day",0.371296296296296
"25","adj_Monitor24_ch13","TRiPsc_M_1","Day",0.843981481481481
"26","adj_Monitor54_ch30","82983_F_1","Day",0.603009259259259
"27","adj_Monitor67_ch18","57713_F_1","Day",0.313888888888889
"28","adj_Monitor22_ch3","64498_M_1","Day",0.413657407407407
"29","adj_Monitor73_ch19","57380_F_1","Day",0.494212962962963
"30","adj_Monitor17_ch12","82983_M_1","Day",0.828240740740741
"31","adj_Monitor75_ch2","55690_M_1","Day",0.706481481481481
"32","adj_Monitor59_ch23","55690_F_1","Day",0.678703703703704
"33","adj_Monitor56_ch19","62872_M_1","Day",0.600231481481482
"34","adj_Monitor58_ch15","62872_F_1","Day",0.563657407407407
"35","adj_Monitor59_ch6","55690_F_1","Day",0.700694444444444
"36","adj_Monitor1_ch16","67422_M_1","Day",0.921759259259259
"37","adj_Monitor6_ch32","53328_F_1","Day",0.303703703703704
"38","adj_Monitor1_ch11","67422_M_1","Day",0.792824074074074
"39","adj_Monitor60_ch2","66945_M_1","Day",0.681481481481481
"40","adj_Monitor60_ch1","66945_M_1","Day",0.556944444444444
"41","adj_Monitor75_ch17","55690_M_1","Day",0.750231481481481
"42","adj_Monitor77_ch31","64498_F_1","Day",0.338425925925926
"43","adj_Monitor60_ch20","66945_M_1","Day",0.87962962962963
"44","adj_Monitor75_ch9","55690_M_1","Day",0.67962962962963
"45","adj_Monitor2_ch14","53328_M_1","Day",0.628009259259259
"46","adj_Monitor58_ch12","62872_F_1","Day",0.496759259259259
"47","adj_Monitor60_ch3","66945_M_1","Day",0.824768518518519
"48","adj_Monitor5_ch3","80387_F_1","Day",0.68287037037037
"49","adj_Monitor1_ch14","67422_M_1","Day",0.842592592592593
"50","adj_Monitor54_ch10","82983_F_1","Day",0.528703703703704
"51","adj_Monitor18_ch28","80387_M_1","Day",0.671759259259259
"52","adj_Monitor5_ch17","80387_F_1","Day",0.708101851851852
"53","adj_Monitor15_ch26","57380_M_1","Day",0.599074074074074
"54","adj_Monitor58_ch2","62872_F_1","Day",0.431481481481481
"55","adj_Monitor6_ch8","53328_F_1","Day",0.26412037037037
"56","adj_Monitor7_ch21","TRiPsc_F_1","Day",0.615972222222222
"57","adj_Monitor2_ch15","53328_M_1","Day",0.586805555555556
"58","adj_Monitor17_ch10","82983_M_1","Day",0.595601851851852
"59","adj_Monitor8_ch14","56014_M_1","Day",0.631481481481482
"60","adj_Monitor6_ch12","53328_F_1","Day",0.463888888888889
"61","adj_Monitor56_ch13","62872_M_1","Day",0.553703703703704
"62","adj_Monitor67_ch2","57713_F_1","Day",0.443981481481481
"63","adj_Monitor20_ch31","57713_M_1","Day",0.867824074074074
"64","adj_Monitor75_ch16","55690_M_1","Day",0.726157407407407
"65","adj_Monitor16_ch2","67422_F_1","Day",0.442824074074074
"66","adj_Monitor16_ch29","67422_F_1","Day",0.46712962962963
"67","adj_Monitor77_ch17","64498_F_1","Day",0.284953703703704
"68","adj_Monitor7_ch22","TRiPsc_F_1","Day",0.630787037037037
"69","adj_Monitor77_ch30","64498_F_1","Day",0.234722222222222
"70","adj_Monitor22_ch18","64498_M_1","Day",0.685648148148148
"71","adj_Monitor2_ch21","53328_M_1","Day",0.590972222222222
"72","adj_Monitor17_ch2","82983_M_1","Day",0.594212962962963
"73","adj_Monitor60_ch16","66945_M_1","Day",0.741203703703704
"74","adj_Monitor60_ch28","66945_M_1","Day",0.749768518518519
"75","adj_Monitor2_ch3","53328_M_1","Day",0.693518518518519
"76","adj_Monitor16_ch7","67422_F_1","Day",0.485185185185185
"77","adj_Monitor77_ch7","64498_F_1","Day",0.37962962962963
"78","adj_Monitor54_ch31","82983_F_1","Day",0.583564814814815
"79","adj_Monitor18_ch10","80387_M_1","Day",0.672453703703704
"80","adj_Monitor8_ch22","56014_M_1","Day",0.588888888888889
"81","adj_Monitor18_ch31","80387_M_1","Day",0.679861111111111
"82","adj_Monitor54_ch22","82983_F_1","Day",0.653703703703704
"83","adj_Monitor72_ch18","66945_F_1","Day",0.525694444444444
"84","adj_Monitor73_ch3","57380_F_1","Day",0.742592592592593
"85","adj_Monitor5_ch8","80387_F_1","Day",0.784490740740741
"86","adj_Monitor77_ch21","64498_F_1","Day",0.686574074074074
"87","adj_Monitor24_ch30","TRiPsc_M_1","Day",0.648842592592593
"88","adj_Monitor54_ch25","82983_F_1","Day",0.530555555555556
"89","adj_Monitor5_ch12","80387_F_1","Day",0.758333333333333
"90","adj_Monitor54_ch28","82983_F_1","Day",0.61087962962963
"91","adj_Monitor58_ch16","62872_F_1","Day",0.321296296296296
"92","adj_Monitor8_ch30","56014_M_1","Day",0.676851851851852
"93","adj_Monitor67_ch15","57713_F_1","Day",0.561111111111111
"94","adj_Monitor2_ch18","53328_M_1","Day",0.628472222222222
"95","adj_Monitor6_ch5","53328_F_1","Day",0.622916666666667
"96","adj_Monitor77_ch8","64498_F_1","Day",0.261111111111111
"97","adj_Monitor16_ch12","67422_F_1","Day",0.643981481481481
"98","adj_Monitor54_ch15","82983_F_1","Day",0.565046296296296
"99","adj_Monitor67_ch23","57713_F_1","Day",0.578703703703704
"100","adj_Monitor1_ch32","67422_M_1","Day",0.777083333333333
"101","adj_Monitor8_ch6","56014_M_1","Day",0.613657407407407
"102","adj_Monitor18_ch26","80387_M_1","Day",0.826157407407407
"103","adj_Monitor5_ch31","80387_F_1","Day",0.705324074074074
"104","adj_Monitor77_ch1","64498_F_1","Day",0.409490740740741
"105","adj_Monitor54_ch17","82983_F_1","Day",0.414583333333333
"106","adj_Monitor18_ch9","80387_M_1","Day",0.734953703703704
"107","adj_Monitor18_ch11","80387_M_1","Day",0.730787037037037
"108","adj_Monitor22_ch19","64498_M_1","Day",0.58125
"109","adj_Monitor1_ch18","67422_M_1","Day",0.91712962962963
"110","adj_Monitor77_ch10","64498_F_1","Day",0.534722222222222
"111","adj_Monitor17_ch5","82983_M_1","Day",0.672453703703704
"112","adj_Monitor58_ch26","62872_F_1","Day",0.443518518518519
"113","adj_Monitor1_ch23","67422_M_1","Day",0.897222222222222
"114","adj_Monitor73_ch28","57380_F_1","Day",0.759027777777778
"115","adj_Monitor54_ch9","82983_F_1","Day",0.479166666666667
"116","adj_Monitor17_ch22","82983_M_1","Day",0.653935185185185
"117","adj_Monitor16_ch9","67422_F_1","Day",0.711111111111111
"118","adj_Monitor24_ch5","TRiPsc_M_1","Day",0.770833333333333
"119","adj_Monitor54_ch5","82983_F_1","Day",0.661342592592593
"120","adj_Monitor18_ch1","80387_M_1","Day",0.748842592592593
"121","adj_Monitor67_ch16","57713_F_1","Day",0.410416666666667
"122","adj_Monitor77_ch16","64498_F_1","Day",0.490740740740741
"123","adj_Monitor56_ch26","62872_M_1","Day",0.534259259259259
"124","adj_Monitor1_ch17","67422_M_1","Day",0.895601851851852
"125","adj_Monitor58_ch20","62872_F_1","Day",0.221527777777778
"126","adj_Monitor67_ch25","57713_F_1","Day",0.413194444444444
"127","adj_Monitor60_ch4","66945_M_1","Day",0.715046296296296
"128","adj_Monitor58_ch21","62872_F_1","Day",0.281712962962963
"129","adj_Monitor54_ch29","82983_F_1","Day",0.386805555555556
"130","adj_Monitor6_ch28","53328_F_1","Day",0.616898148148148
"131","adj_Monitor22_ch17","64498_M_1","Day",0.680324074074074
"132","adj_Monitor77_ch32","64498_F_1","Day",0.341898148148148
"133","adj_Monitor73_ch24","57380_F_1","Day",0.558101851851852
"134","adj_Monitor56_ch32","62872_M_1","Day",0.636805555555556
"135","adj_Monitor54_ch18","82983_F_1","Day",0.47037037037037
"136","adj_Monitor58_ch27","62872_F_1","Day",0.499305555555556
"137","adj_Monitor58_ch1","62872_F_1","Day",0.342592592592593
"138","adj_Monitor58_ch14","62872_F_1","Day",0.510416666666667
"139","adj_Monitor18_ch24","80387_M_1","Day",0.786342592592593
"140","adj_Monitor6_ch19","53328_F_1","Day",0.813425925925926
"141","adj_Monitor77_ch25","64498_F_1","Day",0.622916666666667
"142","adj_Monitor7_ch15","TRiPsc_F_1","Day",0.502777777777778
"143","adj_Monitor16_ch19","67422_F_1","Day",0.668981481481482
"144","adj_Monitor54_ch2","82983_F_1","Day",0.721759259259259
"145","adj_Monitor60_ch10","66945_M_1","Day",0.803703703703704
"146","adj_Monitor75_ch5","55690_M_1","Day",0.632175925925926
"147","adj_Monitor59_ch18","55690_F_1","Day",0.740277777777778
"148","adj_Monitor22_ch16","64498_M_1","Day",0.527777777777778
"149","adj_Monitor5_ch15","80387_F_1","Day",0.651851851851852
"150","adj_Monitor54_ch12","82983_F_1","Day",0.424074074074074
"151","adj_Monitor8_ch20","56014_M_1","Day",0.676157407407407
"152","adj_Monitor1_ch21","67422_M_1","Day",0.859027777777778
