,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,13.59748427672956,57380,M,1
2,adj_Monitor15_ch10,9.222222222222221,57380,M,1
4,adj_Monitor15_ch11,19.0,57380,M,1
6,adj_Monitor15_ch12,11.534246575342467,57380,M,1
8,adj_Monitor15_ch13,12.058823529411764,57380,M,1
10,adj_Monitor15_ch14,19.641025641025642,57380,M,1
12,adj_Monitor15_ch15,13.10948905109489,57380,M,1
14,adj_Monitor15_ch16,11.029585798816568,57380,M,1
16,adj_Monitor15_ch17,12.486842105263158,57380,M,1
18,adj_Monitor15_ch18,13.330275229357799,57380,M,1
20,adj_Monitor15_ch19,18.439560439560438,57380,M,1
22,adj_Monitor15_ch2,11.445054945054945,57380,M,1
24,adj_Monitor15_ch20,11.598930481283423,57380,M,1
26,adj_Monitor15_ch21,7.166666666666667,57380,M,1
28,adj_Monitor15_ch22,12.62566844919786,57380,M,1
30,adj_Monitor15_ch23,12.985294117647058,57380,M,1
32,adj_Monitor15_ch24,11.036036036036036,57380,M,1
34,adj_Monitor15_ch25,16.93859649122807,57380,M,1
36,adj_Monitor15_ch26,11.94767441860465,57380,M,1
38,adj_Monitor15_ch27,14.77,57380,M,1
40,adj_Monitor15_ch28,15.23,57380,M,1
42,adj_Monitor15_ch29,11.75,57380,M,1
44,adj_Monitor15_ch3,15.451327433628318,57380,M,1
46,adj_Monitor15_ch30,10.086614173228346,57380,M,1
48,adj_Monitor15_ch31,13.579545454545455,57380,M,1
50,adj_Monitor15_ch32,13.261437908496733,57380,M,1
52,adj_Monitor15_ch4,17.642276422764226,57380,M,1
54,adj_Monitor15_ch5,10.859154929577464,57380,M,1
56,adj_Monitor15_ch6,11.259036144578314,57380,M,1
58,adj_Monitor15_ch7,11.607407407407408,57380,M,1
60,adj_Monitor15_ch8,9.912,57380,M,1
62,adj_Monitor15_ch9,16.088607594936708,57380,M,1
64,adj_Monitor16_ch1,13.890710382513662,67422,F,1
66,adj_Monitor16_ch10,10.577586206896552,67422,F,1
68,adj_Monitor16_ch11,11.607361963190185,67422,F,1
70,adj_Monitor16_ch12,15.534351145038167,67422,F,1
72,adj_Monitor16_ch13,12.330708661417322,67422,F,1
74,adj_Monitor16_ch14,20.906474820143885,67422,F,1
76,adj_Monitor16_ch15,14.76878612716763,67422,F,1
78,adj_Monitor16_ch16,12.308510638297872,67422,F,1
80,adj_Monitor16_ch17,12.59825327510917,67422,F,1
82,adj_Monitor16_ch18,12.949308755760368,67422,F,1
84,adj_Monitor16_ch19,12.428571428571429,67422,F,1
86,adj_Monitor16_ch2,15.494565217391305,67422,F,1
88,adj_Monitor16_ch20,17.402985074626866,67422,F,1
90,adj_Monitor16_ch21,12.439759036144578,67422,F,1
92,adj_Monitor16_ch22,13.455555555555556,67422,F,1
94,adj_Monitor16_ch23,14.768292682926829,67422,F,1
96,adj_Monitor16_ch24,16.368715083798882,67422,F,1
98,adj_Monitor16_ch25,20.15,67422,F,1
100,adj_Monitor16_ch26,18.695652173913043,67422,F,1
102,adj_Monitor16_ch27,13.715277777777779,67422,F,1
104,adj_Monitor16_ch28,14.135678391959798,67422,F,1
106,adj_Monitor16_ch29,12.732142857142858,67422,F,1
108,adj_Monitor16_ch3,11.592964824120603,67422,F,1
110,adj_Monitor16_ch30,11.604026845637584,67422,F,1
112,adj_Monitor16_ch31,13.123076923076923,67422,F,1
114,adj_Monitor16_ch32,13.92056074766355,67422,F,1
116,adj_Monitor16_ch4,12.881578947368421,67422,F,1
118,adj_Monitor16_ch5,14.390977443609023,67422,F,1
120,adj_Monitor16_ch6,17.205882352941178,67422,F,1
122,adj_Monitor16_ch7,16.16470588235294,67422,F,1
124,adj_Monitor16_ch8,22.363636363636363,67422,F,1
126,adj_Monitor16_ch9,10.113333333333333,67422,F,1
128,adj_Monitor17_ch1,9.171052631578947,82983,M,1
130,adj_Monitor17_ch10,12.027777777777779,82983,M,1
132,adj_Monitor17_ch11,15.01123595505618,82983,M,1
134,adj_Monitor17_ch12,10.349514563106796,82983,M,1
136,adj_Monitor17_ch13,15.73728813559322,82983,M,1
138,adj_Monitor17_ch14,11.757575757575758,82983,M,1
140,adj_Monitor17_ch15,15.540983606557377,82983,M,1
142,adj_Monitor17_ch16,13.876106194690266,82983,M,1
144,adj_Monitor17_ch17,13.560509554140127,82983,M,1
146,adj_Monitor17_ch18,18.42,82983,M,1
148,adj_Monitor17_ch19,14.363636363636363,82983,M,1
150,adj_Monitor17_ch2,16.22047244094488,82983,M,1
