,Channel,Bout_Count,No,Sex,Rep
0,adj_Monitor15_ch1,3.0,57380,M,1
318,adj_Monitor15_ch10,2.8333333333333335,57380,M,1
480,adj_Monitor15_ch11,5.333333333333333,57380,M,1
662,adj_Monitor15_ch12,1.3333333333333333,57380,M,1
808,adj_Monitor15_ch13,4.833333333333333,57380,M,1
1148,adj_Monitor15_ch14,4.0,57380,M,1
1304,adj_Monitor15_ch15,5.833333333333333,57380,M,1
1578,adj_Monitor15_ch16,3.8333333333333335,57380,M,1
1916,adj_Monitor15_ch17,6.166666666666667,57380,M,1
2220,adj_Monitor15_ch18,4.0,57380,M,1
2438,adj_Monitor15_ch19,5.666666666666667,57380,M,1
2620,adj_Monitor15_ch2,5.833333333333333,57380,M,1
2984,adj_Monitor15_ch20,6.833333333333333,57380,M,1
3358,adj_Monitor15_ch21,6.0,57380,M,1
3647,adj_Monitor15_ch22,7.833333333333333,57380,M,1
4022,adj_Monitor15_ch23,2.0,57380,M,1
4158,adj_Monitor15_ch24,4.333333333333333,57380,M,1
4380,adj_Monitor15_ch25,5.833333333333333,57380,M,1
4608,adj_Monitor15_ch26,6.166666666666667,57380,M,1
4952,adj_Monitor15_ch27,6.333333333333333,57380,M,1
5152,adj_Monitor15_ch28,3.0,57380,M,1
5352,adj_Monitor15_ch29,5.833333333333333,57380,M,1
5568,adj_Monitor15_ch3,3.8333333333333335,57380,M,1
5794,adj_Monitor15_ch30,4.0,57380,M,1
6048,adj_Monitor15_ch31,0.8333333333333334,57380,M,1
6224,adj_Monitor15_ch32,4.166666666666667,57380,M,1
6530,adj_Monitor15_ch4,3.3333333333333335,57380,M,1
6776,adj_Monitor15_ch5,2.8333333333333335,57380,M,1
7060,adj_Monitor15_ch6,6.0,57380,M,1
7392,adj_Monitor15_ch7,2.0,57380,M,1
7662,adj_Monitor15_ch8,5.666666666666667,57380,M,1
7912,adj_Monitor15_ch9,3.6666666666666665,57380,M,1
8070,adj_Monitor16_ch1,0.8333333333333334,67422,F,1
8436,adj_Monitor16_ch10,2.0,67422,F,1
8668,adj_Monitor16_ch11,0.8333333333333334,67422,F,1
8994,adj_Monitor16_ch12,3.6666666666666665,67422,F,1
9256,adj_Monitor16_ch13,1.3333333333333333,67422,F,1
9510,adj_Monitor16_ch14,3.0,67422,F,1
9788,adj_Monitor16_ch15,5.666666666666667,67422,F,1
10134,adj_Monitor16_ch16,5.5,67422,F,1
10510,adj_Monitor16_ch17,10.0,67422,F,1
10968,adj_Monitor16_ch18,11.333333333333334,67422,F,1
11403,adj_Monitor16_ch19,2.0,67422,F,1
11670,adj_Monitor16_ch2,5.0,67422,F,1
12038,adj_Monitor16_ch20,10.166666666666666,67422,F,1
12306,adj_Monitor16_ch21,4.833333333333333,67422,F,1
12638,adj_Monitor16_ch22,2.0,67422,F,1
12998,adj_Monitor16_ch23,3.6666666666666665,67422,F,1
13326,adj_Monitor16_ch24,2.1666666666666665,67422,F,1
13684,adj_Monitor16_ch25,1.8333333333333333,67422,F,1
13884,adj_Monitor16_ch26,3.0,67422,F,1
14206,adj_Monitor16_ch27,4.5,67422,F,1
14494,adj_Monitor16_ch28,2.6666666666666665,67422,F,1
14892,adj_Monitor16_ch29,9.833333333333334,67422,F,1
15340,adj_Monitor16_ch3,7.666666666666667,67422,F,1
15738,adj_Monitor16_ch30,1.6666666666666667,67422,F,1
16036,adj_Monitor16_ch31,8.666666666666666,67422,F,1
16426,adj_Monitor16_ch32,11.0,67422,F,1
16854,adj_Monitor16_ch4,1.8333333333333333,67422,F,1
17158,adj_Monitor16_ch5,0.5,67422,F,1
17424,adj_Monitor16_ch6,6.833333333333333,67422,F,1
17696,adj_Monitor16_ch7,7.166666666666667,67422,F,1
18036,adj_Monitor16_ch8,1.1666666666666667,67422,F,1
18190,adj_Monitor16_ch9,3.3333333333333335,67422,F,1
18490,adj_Monitor17_ch1,3.0,82983,M,1
18642,adj_Monitor17_ch10,6.166666666666667,82983,M,1
19002,adj_Monitor17_ch11,2.0,82983,M,1
19180,adj_Monitor17_ch12,4.833333333333333,82983,M,1
19386,adj_Monitor17_ch13,3.6666666666666665,82983,M,1
19622,adj_Monitor17_ch14,5.166666666666667,82983,M,1
19820,adj_Monitor17_ch15,2.6666666666666665,82983,M,1
19942,adj_Monitor17_ch16,4.166666666666667,82983,M,1
20168,adj_Monitor17_ch17,3.6666666666666665,82983,M,1
20482,adj_Monitor17_ch18,1.3333333333333333,82983,M,1
20582,adj_Monitor17_ch19,8.833333333333334,82983,M,1
20934,adj_Monitor17_ch2,5.0,82983,M,1
21188,adj_Monitor17_ch21,6.0,82983,M,1
21410,adj_Monitor17_ch22,4.833333333333333,82983,M,1
21744,adj_Monitor17_ch23,4.666666666666667,82983,M,1
21954,adj_Monitor17_ch24,3.0,82983,M,1
22198,adj_Monitor17_ch25,5.166666666666667,82983,M,1
22526,adj_Monitor17_ch26,4.0,82983,M,1
22768,adj_Monitor17_ch27,7.166666666666667,82983,M,1
23076,adj_Monitor17_ch28,5.166666666666667,82983,M,1
23314,adj_Monitor17_ch29,2.8333333333333335,82983,M,1
23480,adj_Monitor17_ch3,6.0,82983,M,1
23796,adj_Monitor17_ch30,2.3333333333333335,82983,M,1
23990,adj_Monitor17_ch31,8.166666666666666,82983,M,1
24360,adj_Monitor17_ch32,6.666666666666667,82983,M,1
24744,adj_Monitor17_ch4,5.333333333333333,82983,M,1
25082,adj_Monitor17_ch5,4.5,82983,M,1
25366,adj_Monitor17_ch6,2.5,82983,M,1
25594,adj_Monitor17_ch7,4.166666666666667,82983,M,1
25816,adj_Monitor17_ch8,5.166666666666667,82983,M,1
26008,adj_Monitor17_ch9,3.1666666666666665,82983,M,1
26190,adj_Monitor18_ch1,3.0,80387,M,1
26424,adj_Monitor18_ch10,1.1666666666666667,80387,M,1
26668,adj_Monitor18_ch11,1.5,80387,M,1
26924,adj_Monitor18_ch12,6.333333333333333,80387,M,1
27298,adj_Monitor18_ch13,5.666666666666667,80387,M,1
27556,adj_Monitor18_ch14,8.666666666666666,80387,M,1
27898,adj_Monitor18_ch15,2.0,80387,M,1
28092,adj_Monitor18_ch16,1.5,80387,M,1
28334,adj_Monitor18_ch17,3.1666666666666665,80387,M,1
28644,adj_Monitor18_ch18,2.8333333333333335,80387,M,1
28874,adj_Monitor18_ch19,5.833333333333333,80387,M,1
29150,adj_Monitor18_ch2,6.166666666666667,80387,M,1
29416,adj_Monitor18_ch20,7.833333333333333,80387,M,1
29776,adj_Monitor18_ch21,6.166666666666667,80387,M,1
30076,adj_Monitor18_ch22,5.5,80387,M,1
30378,adj_Monitor18_ch23,5.5,80387,M,1
30706,adj_Monitor18_ch24,4.0,80387,M,1
30914,adj_Monitor18_ch26,6.5,80387,M,1
31186,adj_Monitor18_ch27,4.333333333333333,80387,M,1
31456,adj_Monitor18_ch28,3.3333333333333335,80387,M,1
31802,adj_Monitor18_ch29,6.166666666666667,80387,M,1
32096,adj_Monitor18_ch3,12.666666666666666,80387,M,1
32480,adj_Monitor18_ch30,3.3333333333333335,80387,M,1
32808,adj_Monitor18_ch31,5.833333333333333,80387,M,1
33104,adj_Monitor18_ch32,2.0,80387,M,1
33330,adj_Monitor18_ch4,2.1666666666666665,80387,M,1
33614,adj_Monitor18_ch5,6.5,80387,M,1
33850,adj_Monitor18_ch6,3.0,80387,M,1
34068,adj_Monitor18_ch7,6.0,80387,M,1
34320,adj_Monitor18_ch8,6.5,80387,M,1
34630,adj_Monitor18_ch9,5.333333333333333,80387,M,1
34885,adj_Monitor1_ch1,5.166666666666667,67422,M,1
35072,adj_Monitor1_ch11,5.5,67422,M,1
35362,adj_Monitor1_ch12,9.666666666666666,67422,M,1
35774,adj_Monitor1_ch13,6.5,67422,M,1
36012,adj_Monitor1_ch14,5.833333333333333,67422,M,1
36252,adj_Monitor1_ch15,3.0,67422,M,1
36472,adj_Monitor1_ch16,2.3333333333333335,67422,M,1
36590,adj_Monitor1_ch17,5.833333333333333,67422,M,1
36790,adj_Monitor1_ch18,4.833333333333333,67422,M,1
36952,adj_Monitor1_ch19,6.833333333333333,67422,M,1
37186,adj_Monitor1_ch2,3.1666666666666665,67422,M,1
37334,adj_Monitor1_ch20,4.666666666666667,67422,M,1
37534,adj_Monitor1_ch21,6.333333333333333,67422,M,1
37736,adj_Monitor1_ch22,5.5,67422,M,1
37902,adj_Monitor1_ch23,3.6666666666666665,67422,M,1
38052,adj_Monitor1_ch24,6.166666666666667,67422,M,1
38318,adj_Monitor1_ch25,4.333333333333333,67422,M,1
38460,adj_Monitor1_ch26,6.666666666666667,67422,M,1
38800,adj_Monitor1_ch27,4.0,67422,M,1
38962,adj_Monitor1_ch28,6.666666666666667,67422,M,1
39272,adj_Monitor1_ch29,3.5,67422,M,1
39545,adj_Monitor1_ch3,9.666666666666666,67422,M,1
39870,adj_Monitor1_ch30,7.333333333333333,67422,M,1
40126,adj_Monitor1_ch31,7.0,67422,M,1
40470,adj_Monitor1_ch32,7.333333333333333,67422,M,1
40714,adj_Monitor1_ch4,7.666666666666667,67422,M,1
41118,adj_Monitor1_ch5,9.5,67422,M,1
41532,adj_Monitor1_ch6,5.833333333333333,67422,M,1
41706,adj_Monitor1_ch7,7.5,67422,M,1
42084,adj_Monitor1_ch8,5.0,67422,M,1
42238,adj_Monitor1_ch9,1.5,67422,M,1
42480,adj_Monitor20_ch1,3.3333333333333335,57713,M,1
42718,adj_Monitor20_ch10,6.333333333333333,57713,M,1
42968,adj_Monitor20_ch11,8.5,57713,M,1
43170,adj_Monitor20_ch12,7.333333333333333,57713,M,1
43412,adj_Monitor20_ch13,7.666666666666667,57713,M,1
43657,adj_Monitor20_ch14,4.5,57713,M,1
43860,adj_Monitor20_ch15,3.5,57713,M,1
44028,adj_Monitor20_ch16,1.0,57713,M,1
44094,adj_Monitor20_ch17,7.333333333333333,57713,M,1
44308,adj_Monitor20_ch18,1.8333333333333333,57713,M,1
44420,adj_Monitor20_ch19,4.0,57713,M,1
44604,adj_Monitor20_ch2,5.166666666666667,57713,M,1
44830,adj_Monitor20_ch20,6.166666666666667,57713,M,1
45150,adj_Monitor20_ch21,2.6666666666666665,57713,M,1
45256,adj_Monitor20_ch22,6.833333333333333,57713,M,1
45548,adj_Monitor20_ch23,9.5,57713,M,1
45814,adj_Monitor20_ch24,9.833333333333334,57713,M,1
46040,adj_Monitor20_ch25,3.0,57713,M,1
46192,adj_Monitor20_ch26,1.6666666666666667,57713,M,1
46288,adj_Monitor20_ch27,3.3333333333333335,57713,M,1
46448,adj_Monitor20_ch29,1.6666666666666667,57713,M,1
46590,adj_Monitor20_ch3,7.333333333333333,57713,M,1
46966,adj_Monitor20_ch30,3.8333333333333335,57713,M,1
47200,adj_Monitor20_ch31,6.0,57713,M,1
47392,adj_Monitor20_ch32,3.8333333333333335,57713,M,1
47594,adj_Monitor20_ch4,5.333333333333333,57713,M,1
47782,adj_Monitor20_ch5,4.5,57713,M,1
47928,adj_Monitor20_ch6,3.1666666666666665,57713,M,1
48084,adj_Monitor20_ch7,16.0,57713,M,1
48504,adj_Monitor20_ch8,17.166666666666668,57713,M,1
48834,adj_Monitor20_ch9,2.8333333333333335,57713,M,1
49064,adj_Monitor22_ch1,3.0,64498,M,1
49274,adj_Monitor22_ch10,8.5,64498,M,1
49602,adj_Monitor22_ch11,4.666666666666667,64498,M,1
49882,adj_Monitor22_ch12,5.666666666666667,64498,M,1
50116,adj_Monitor22_ch13,3.8333333333333335,64498,M,1
50394,adj_Monitor22_ch14,4.666666666666667,64498,M,1
50640,adj_Monitor22_ch15,8.333333333333334,64498,M,1
51008,adj_Monitor22_ch16,6.0,64498,M,1
51296,adj_Monitor22_ch17,1.0,64498,M,1
51530,adj_Monitor22_ch18,5.833333333333333,64498,M,1
51804,adj_Monitor22_ch19,6.833333333333333,64498,M,1
52094,adj_Monitor22_ch2,8.0,64498,M,1
52308,adj_Monitor22_ch20,1.5,64498,M,1
52490,adj_Monitor22_ch21,4.166666666666667,64498,M,1
52718,adj_Monitor22_ch22,13.833333333333334,64498,M,1
53068,adj_Monitor22_ch23,1.5,64498,M,1
53266,adj_Monitor22_ch24,3.1666666666666665,64498,M,1
53586,adj_Monitor22_ch25,8.5,64498,M,1
53842,adj_Monitor22_ch26,9.166666666666666,64498,M,1
