,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,14.297872340425531,57380,M,1
2,adj_Monitor15_ch10,9.984375,57380,M,1
4,adj_Monitor15_ch11,24.64406779661017,57380,M,1
6,adj_Monitor15_ch12,10.476923076923077,57380,M,1
8,adj_Monitor15_ch13,13.049645390070921,57380,M,1
10,adj_Monitor15_ch14,24.12962962962963,57380,M,1
12,adj_Monitor15_ch15,14.990196078431373,57380,M,1
14,adj_Monitor15_ch16,11.506849315068493,57380,M,1
16,adj_Monitor15_ch17,13.31304347826087,57380,M,1
18,adj_Monitor15_ch18,14.588235294117647,57380,M,1
20,adj_Monitor15_ch19,22.94736842105263,57380,M,1
22,adj_Monitor15_ch2,12.054421768707483,57380,M,1
24,adj_Monitor15_ch20,13.116438356164384,57380,M,1
26,adj_Monitor15_ch21,7.351851851851852,57380,M,1
28,adj_Monitor15_ch22,14.335714285714285,57380,M,1
30,adj_Monitor15_ch23,14.285714285714286,57380,M,1
32,adj_Monitor15_ch24,12.2,57380,M,1
34,adj_Monitor15_ch25,20.860759493670887,57380,M,1
36,adj_Monitor15_ch26,13.051851851851852,57380,M,1
38,adj_Monitor15_ch27,19.306451612903224,57380,M,1
40,adj_Monitor15_ch28,16.646341463414632,57380,M,1
42,adj_Monitor15_ch29,14.301369863013699,57380,M,1
44,adj_Monitor15_ch3,17.355555555555554,57380,M,1
46,adj_Monitor15_ch30,10.766990291262136,57380,M,1
48,adj_Monitor15_ch31,13.987951807228916,57380,M,1
50,adj_Monitor15_ch32,13.9453125,57380,M,1
52,adj_Monitor15_ch4,19.679611650485437,57380,M,1
54,adj_Monitor15_ch5,10.984,57380,M,1
56,adj_Monitor15_ch6,12.330769230769231,57380,M,1
58,adj_Monitor15_ch7,11.666666666666666,57380,M,1
60,adj_Monitor15_ch8,10.89010989010989,57380,M,1
62,adj_Monitor15_ch9,19.36842105263158,57380,M,1
64,adj_Monitor16_ch1,13.814606741573034,67422,F,1
66,adj_Monitor16_ch10,11.048076923076923,67422,F,1
68,adj_Monitor16_ch11,11.816455696202532,67422,F,1
70,adj_Monitor16_ch12,17.073394495412845,67422,F,1
72,adj_Monitor16_ch13,12.621848739495798,67422,F,1
74,adj_Monitor16_ch14,21.826446280991735,67422,F,1
76,adj_Monitor16_ch15,15.676258992805755,67422,F,1
78,adj_Monitor16_ch16,13.2,67422,F,1
80,adj_Monitor16_ch17,14.029585798816568,67422,F,1
82,adj_Monitor16_ch18,15.120805369127517,67422,F,1
84,adj_Monitor16_ch19,13.008264462809917,67422,F,1
86,adj_Monitor16_ch2,14.941558441558442,67422,F,1
88,adj_Monitor16_ch20,20.876712328767123,67422,F,1
90,adj_Monitor16_ch21,13.35036496350365,67422,F,1
92,adj_Monitor16_ch22,13.571428571428571,67422,F,1
94,adj_Monitor16_ch23,15.528169014084508,67422,F,1
96,adj_Monitor16_ch24,16.548192771084338,67422,F,1
98,adj_Monitor16_ch25,21.651685393258425,67422,F,1
100,adj_Monitor16_ch26,19.685314685314687,67422,F,1
102,adj_Monitor16_ch27,14.487179487179487,67422,F,1
104,adj_Monitor16_ch28,14.398907103825136,67422,F,1
106,adj_Monitor16_ch29,14.478787878787879,67422,F,1
108,adj_Monitor16_ch3,12.973856209150327,67422,F,1
110,adj_Monitor16_ch30,11.956834532374101,67422,F,1
112,adj_Monitor16_ch31,14.874125874125873,67422,F,1
114,adj_Monitor16_ch32,15.574324324324325,67422,F,1
116,adj_Monitor16_ch4,12.75177304964539,67422,F,1
118,adj_Monitor16_ch5,14.607692307692307,67422,F,1
120,adj_Monitor16_ch6,21.652631578947368,67422,F,1
122,adj_Monitor16_ch7,18.614173228346456,67422,F,1
124,adj_Monitor16_ch8,23.914285714285715,67422,F,1
126,adj_Monitor16_ch9,10.4,67422,F,1
128,adj_Monitor17_ch1,9.982758620689655,82983,M,1
