,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,8.11111111111111,57380,M,1
2,adj_Monitor15_ch10,6.352941176470588,57380,M,1
4,adj_Monitor15_ch11,8.59375,57380,M,1
6,adj_Monitor15_ch12,20.125,57380,M,1
8,adj_Monitor15_ch13,7.241379310344827,57380,M,1
10,adj_Monitor15_ch14,9.541666666666666,57380,M,1
12,adj_Monitor15_ch15,7.628571428571429,57380,M,1
14,adj_Monitor15_ch16,8.0,57380,M,1
16,adj_Monitor15_ch17,9.91891891891892,57380,M,1
18,adj_Monitor15_ch18,8.875,57380,M,1
20,adj_Monitor15_ch19,10.882352941176471,57380,M,1
22,adj_Monitor15_ch2,8.885714285714286,57380,M,1
24,adj_Monitor15_ch20,6.195121951219512,57380,M,1
26,adj_Monitor15_ch21,6.611111111111111,57380,M,1
28,adj_Monitor15_ch22,7.531914893617022,57380,M,1
30,adj_Monitor15_ch23,6.916666666666667,57380,M,1
32,adj_Monitor15_ch24,7.230769230769231,57380,M,1
34,adj_Monitor15_ch25,8.085714285714285,57380,M,1
36,adj_Monitor15_ch26,7.918918918918919,57380,M,1
38,adj_Monitor15_ch27,7.368421052631579,57380,M,1
40,adj_Monitor15_ch28,8.777777777777779,57380,M,1
42,adj_Monitor15_ch29,6.428571428571429,57380,M,1
44,adj_Monitor15_ch3,8.0,57380,M,1
46,adj_Monitor15_ch30,7.166666666666667,57380,M,1
48,adj_Monitor15_ch31,6.8,57380,M,1
50,adj_Monitor15_ch32,9.76,57380,M,1
52,adj_Monitor15_ch4,7.15,57380,M,1
54,adj_Monitor15_ch5,9.941176470588236,57380,M,1
56,adj_Monitor15_ch6,7.388888888888889,57380,M,1
58,adj_Monitor15_ch7,11.0,57380,M,1
60,adj_Monitor15_ch8,7.294117647058823,57380,M,1
62,adj_Monitor15_ch9,7.590909090909091,57380,M,1
64,adj_Monitor16_ch1,16.6,67422,F,1
66,adj_Monitor16_ch10,6.5,67422,F,1
68,adj_Monitor16_ch11,5.0,67422,F,1
70,adj_Monitor16_ch12,7.909090909090909,67422,F,1
72,adj_Monitor16_ch13,8.0,67422,F,1
74,adj_Monitor16_ch14,14.722222222222221,67422,F,1
76,adj_Monitor16_ch15,11.058823529411764,67422,F,1
78,adj_Monitor16_ch16,8.121212121212121,67422,F,1
80,adj_Monitor16_ch17,8.566666666666666,67422,F,1
82,adj_Monitor16_ch18,8.191176470588236,67422,F,1
84,adj_Monitor16_ch19,6.583333333333333,67422,F,1
86,adj_Monitor16_ch2,18.333333333333332,67422,F,1
88,adj_Monitor16_ch20,13.245901639344263,67422,F,1
90,adj_Monitor16_ch21,8.137931034482758,67422,F,1
92,adj_Monitor16_ch22,11.833333333333334,67422,F,1
94,adj_Monitor16_ch23,9.863636363636363,67422,F,1
96,adj_Monitor16_ch24,14.076923076923077,67422,F,1
98,adj_Monitor16_ch25,8.0,67422,F,1
100,adj_Monitor16_ch26,10.833333333333334,67422,F,1
102,adj_Monitor16_ch27,10.37037037037037,67422,F,1
104,adj_Monitor16_ch28,11.125,67422,F,1
106,adj_Monitor16_ch29,7.8474576271186445,67422,F,1
108,adj_Monitor16_ch3,7.0,67422,F,1
110,adj_Monitor16_ch30,6.7,67422,F,1
112,adj_Monitor16_ch31,8.307692307692308,67422,F,1
114,adj_Monitor16_ch32,10.212121212121213,67422,F,1
116,adj_Monitor16_ch4,14.545454545454545,67422,F,1
118,adj_Monitor16_ch5,5.0,67422,F,1
120,adj_Monitor16_ch6,6.902439024390244,67422,F,1
122,adj_Monitor16_ch7,8.930232558139535,67422,F,1
124,adj_Monitor16_ch8,6.857142857142857,67422,F,1
126,adj_Monitor16_ch9,8.25,67422,F,1
128,adj_Monitor17_ch1,6.555555555555555,82983,M,1
130,adj_Monitor17_ch10,9.81081081081081,82983,M,1
132,adj_Monitor17_ch11,8.166666666666666,82983,M,1
134,adj_Monitor17_ch12,10.96551724137931,82983,M,1
136,adj_Monitor17_ch13,9.045454545454545,82983,M,1
138,adj_Monitor17_ch14,7.064516129032258,82983,M,1
140,adj_Monitor17_ch15,9.9375,82983,M,1
142,adj_Monitor17_ch16,11.44,82983,M,1
144,adj_Monitor17_ch17,8.909090909090908,82983,M,1
146,adj_Monitor17_ch18,7.25,82983,M,1
148,adj_Monitor17_ch19,7.9245283018867925,82983,M,1
150,adj_Monitor17_ch2,13.166666666666666,82983,M,1
152,adj_Monitor17_ch21,7.555555555555555,82983,M,1
154,adj_Monitor17_ch22,8.620689655172415,82983,M,1
156,adj_Monitor17_ch23,6.321428571428571,82983,M,1
158,adj_Monitor17_ch24,18.77777777777778,82983,M,1
160,adj_Monitor17_ch25,8.129032258064516,82983,M,1
162,adj_Monitor17_ch26,7.583333333333333,82983,M,1
164,adj_Monitor17_ch27,9.883720930232558,82983,M,1
166,adj_Monitor17_ch28,6.516129032258065,82983,M,1
168,adj_Monitor17_ch29,11.0,82983,M,1
170,adj_Monitor17_ch3,6.333333333333333,82983,M,1
172,adj_Monitor17_ch30,13.785714285714286,82983,M,1
174,adj_Monitor17_ch31,7.551020408163265,82983,M,1
176,adj_Monitor17_ch32,8.075,82983,M,1
178,adj_Monitor17_ch4,9.46875,82983,M,1
180,adj_Monitor17_ch5,10.333333333333334,82983,M,1
182,adj_Monitor17_ch6,9.133333333333333,82983,M,1
184,adj_Monitor17_ch7,7.68,82983,M,1
186,adj_Monitor17_ch8,6.709677419354839,82983,M,1
188,adj_Monitor17_ch9,8.894736842105264,82983,M,1
190,adj_Monitor18_ch1,7.0,80387,M,1
192,adj_Monitor18_ch10,17.0,80387,M,1
194,adj_Monitor18_ch11,12.333333333333334,80387,M,1
196,adj_Monitor18_ch12,8.473684210526315,80387,M,1
198,adj_Monitor18_ch13,8.029411764705882,80387,M,1
200,adj_Monitor18_ch14,7.596153846153846,80387,M,1
202,adj_Monitor18_ch15,5.833333333333333,80387,M,1
204,adj_Monitor18_ch16,9.0,80387,M,1
206,adj_Monitor18_ch17,5.842105263157895,80387,M,1
208,adj_Monitor18_ch18,8.529411764705882,80387,M,1
210,adj_Monitor18_ch19,8.428571428571429,80387,M,1
212,adj_Monitor18_ch2,9.432432432432432,80387,M,1
214,adj_Monitor18_ch20,7.148936170212766,80387,M,1
216,adj_Monitor18_ch21,8.35135135135135,80387,M,1
218,adj_Monitor18_ch22,9.121212121212121,80387,M,1
220,adj_Monitor18_ch23,7.303030303030303,80387,M,1
222,adj_Monitor18_ch24,7.041666666666667,80387,M,1
224,adj_Monitor18_ch26,6.17948717948718,80387,M,1
226,adj_Monitor18_ch27,7.346153846153846,80387,M,1
228,adj_Monitor18_ch28,7.45,80387,M,1
230,adj_Monitor18_ch29,7.702702702702703,80387,M,1
232,adj_Monitor18_ch3,7.302631578947368,80387,M,1
234,adj_Monitor18_ch30,8.6,80387,M,1
236,adj_Monitor18_ch31,6.8,80387,M,1
238,adj_Monitor18_ch32,8.333333333333334,80387,M,1
240,adj_Monitor18_ch4,6.3076923076923075,80387,M,1
242,adj_Monitor18_ch5,7.512820512820513,80387,M,1
244,adj_Monitor18_ch6,6.555555555555555,80387,M,1
246,adj_Monitor18_ch7,6.416666666666667,80387,M,1
248,adj_Monitor18_ch8,8.102564102564102,80387,M,1
250,adj_Monitor18_ch9,6.96875,80387,M,1
252,adj_Monitor1_ch1,7.870967741935484,67422,M,1
254,adj_Monitor1_ch11,9.606060606060606,67422,M,1
256,adj_Monitor1_ch12,9.620689655172415,67422,M,1
258,adj_Monitor1_ch13,9.23076923076923,67422,M,1
260,adj_Monitor1_ch14,6.4,67422,M,1
262,adj_Monitor1_ch15,8.166666666666666,67422,M,1
264,adj_Monitor1_ch16,9.071428571428571,67422,M,1
266,adj_Monitor1_ch17,8.2,67422,M,1
268,adj_Monitor1_ch18,9.241379310344827,67422,M,1
270,adj_Monitor1_ch19,7.975609756097561,67422,M,1
272,adj_Monitor1_ch2,7.157894736842105,67422,M,1
274,adj_Monitor1_ch20,7.392857142857143,67422,M,1
276,adj_Monitor1_ch21,8.736842105263158,67422,M,1
278,adj_Monitor1_ch22,9.090909090909092,67422,M,1
