,Channel,Activity,No,Sex,Rep
96,adj_Monitor16_ch24,1137.3333333333333,67422,F,1
1362,adj_Monitor77_ch31,1133.6666666666667,64498,F,1
164,adj_Monitor17_ch27,1085.8333333333333,82983,M,1
1322,adj_Monitor77_ch13,1065.6666666666667,64498,F,1
870,adj_Monitor5_ch7,1012.5,80387,F,1
686,adj_Monitor56_ch7,999.5,62872,M,1
28,adj_Monitor15_ch22,998.6666666666666,57380,M,1
346,adj_Monitor20_ch24,992.5,57713,M,1
426,adj_Monitor22_ch32,986.8333333333334,64498,M,1
80,adj_Monitor16_ch17,961.0,67422,F,1
614,adj_Monitor54_ch32,951.5,82983,F,1
434,adj_Monitor22_ch7,950.3333333333334,64498,M,1
1330,adj_Monitor77_ch17,943.5,64498,F,1
746,adj_Monitor58_ch6,942.0,62872,F,1
422,adj_Monitor22_ch30,936.1666666666666,64498,M,1
1120,adj_Monitor6_ch6,906.1666666666666,53328,F,1
112,adj_Monitor16_ch31,904.0,67422,F,1
774,adj_Monitor59_ch20,900.6666666666666,55690,F,1
1116,adj_Monitor6_ch4,885.5,53328,F,1
114,adj_Monitor16_ch32,874.5,67422,F,1
924,adj_Monitor60_ch32,870.8333333333334,66945,M,1
100,adj_Monitor16_ch26,869.8333333333334,67422,F,1
1372,adj_Monitor77_ch7,867.3333333333334,64498,F,1
1100,adj_Monitor6_ch26,865.8333333333334,53328,F,1
1280,adj_Monitor75_ch21,861.0,55690,M,1
988,adj_Monitor63_ch32,852.0,56014,F,1
972,adj_Monitor63_ch25,841.0,56014,F,1
1240,adj_Monitor73_ch31,838.6666666666666,57380,F,1
1034,adj_Monitor67_ch24,831.6666666666666,57713,F,1
654,adj_Monitor56_ch21,818.3333333333334,62872,M,1
862,adj_Monitor5_ch32,817.5,80387,F,1
718,adj_Monitor58_ch21,814.6666666666666,62872,F,1
108,adj_Monitor16_ch3,812.8333333333334,67422,F,1
1298,adj_Monitor75_ch30,812.3333333333334,55690,M,1
122,adj_Monitor16_ch7,811.3333333333334,67422,F,1
1028,adj_Monitor67_ch21,804.6666666666666,57713,F,1
748,adj_Monitor58_ch7,799.8333333333334,62872,F,1
232,adj_Monitor18_ch3,798.5,80387,M,1
148,adj_Monitor17_ch19,796.1666666666666,82983,M,1
1172,adj_Monitor72_ch3,793.8333333333334,66945,F,1
1038,adj_Monitor67_ch26,792.3333333333334,57713,F,1
1360,adj_Monitor77_ch30,791.3333333333334,64498,F,1
602,adj_Monitor54_ch27,787.6666666666666,82983,F,1
672,adj_Monitor56_ch3,785.1666666666666,62872,M,1
838,adj_Monitor5_ch20,784.0,80387,F,1
76,adj_Monitor16_ch15,783.1666666666666,67422,F,1
1210,adj_Monitor73_ch18,778.3333333333334,57380,F,1
690,adj_Monitor56_ch9,776.8333333333334,62872,M,1
578,adj_Monitor54_ch16,775.8333333333334,82983,F,1
694,adj_Monitor58_ch10,774.6666666666666,62872,F,1
1366,adj_Monitor77_ch4,774.1666666666666,64498,F,1
408,adj_Monitor22_ch24,767.3333333333334,64498,M,1
410,adj_Monitor22_ch25,763.3333333333334,64498,M,1
952,adj_Monitor63_ch16,763.0,56014,F,1
1036,adj_Monitor67_ch25,762.3333333333334,57713,F,1
396,adj_Monitor22_ch19,762.0,64498,M,1
1410,adj_Monitor7_ch24,760.0,TRiPsc,F,1
330,adj_Monitor20_ch17,750.0,57713,M,1
432,adj_Monitor22_ch6,746.1666666666666,64498,M,1
90,adj_Monitor16_ch21,743.3333333333334,67422,F,1
656,adj_Monitor56_ch22,742.1666666666666,62872,M,1
196,adj_Monitor18_ch12,739.8333333333334,80387,M,1
1006,adj_Monitor67_ch11,739.8333333333334,57713,F,1
1458,adj_Monitor8_ch17,738.3333333333334,56014,M,1
1324,adj_Monitor77_ch14,738.0,64498,F,1
1308,adj_Monitor75_ch7,735.3333333333334,55690,M,1
86,adj_Monitor16_ch2,735.3333333333334,67422,F,1
978,adj_Monitor63_ch28,729.0,56014,F,1
706,adj_Monitor58_ch16,725.3333333333334,62872,F,1
674,adj_Monitor56_ch30,724.3333333333334,62872,M,1
1096,adj_Monitor6_ch24,723.6666666666666,53328,F,1
