,Channel,Light_status,mean_sleep_per_ind,No,Sex,Rep
0,adj_Monitor20_ch8,Day,0.806712962962963,57713,M,1
1,adj_Monitor72_ch25,Day,0.512731481481482,66945,F,1
2,adj_Monitor75_ch4,Day,0.727083333333333,55690,M,1
3,adj_Monitor67_ch6,Day,0.282638888888889,57713,F,1
4,adj_Monitor1_ch1,Day,0.872916666666667,67422,M,1
5,adj_Monitor60_ch21,Day,0.844907407407407,66945,M,1
6,adj_Monitor16_ch18,Day,0.487037037037037,67422,F,1
7,adj_Monitor1_ch28,Day,0.750462962962963,67422,M,1
8,adj_Monitor77_ch23,Day,0.468287037037037,64498,F,1
9,adj_Monitor6_ch2,Day,0.356944444444444,53328,F,1
10,adj_Monitor54_ch11,Day,0.580324074074074,82983,F,1
11,adj_Monitor5_ch10,Day,0.799074074074074,80387,F,1
12,adj_Monitor67_ch10,Day,0.417824074074074,57713,F,1
14,adj_Monitor6_ch22,Day,0.438194444444444,53328,F,1
16,adj_Monitor8_ch12,Day,0.531481481481481,56014,M,1
17,adj_Monitor77_ch6,Day,0.410185185185185,64498,F,1
18,adj_Monitor8_ch29,Day,0.597453703703704,56014,M,1
19,adj_Monitor1_ch22,Day,0.9,67422,M,1
20,adj_Monitor2_ch1,Day,0.685416666666667,53328,M,1
22,adj_Monitor75_ch6,Day,0.67962962962963,55690,M,1
23,adj_Monitor72_ch24,Day,0.371296296296296,66945,F,1
24,adj_Monitor24_ch13,Day,0.843981481481481,TRiPsc,M,1
25,adj_Monitor54_ch30,Day,0.603009259259259,82983,F,1
26,adj_Monitor67_ch18,Day,0.313888888888889,57713,F,1
27,adj_Monitor22_ch3,Day,0.413657407407407,64498,M,1
28,adj_Monitor73_ch19,Day,0.494212962962963,57380,F,1
29,adj_Monitor17_ch12,Day,0.828240740740741,82983,M,1
30,adj_Monitor75_ch2,Day,0.706481481481481,55690,M,1
31,adj_Monitor59_ch23,Day,0.678703703703704,55690,F,1
32,adj_Monitor56_ch19,Day,0.600231481481482,62872,M,1
33,adj_Monitor58_ch15,Day,0.563657407407407,62872,F,1
34,adj_Monitor59_ch6,Day,0.700694444444444,55690,F,1
35,adj_Monitor1_ch16,Day,0.921759259259259,67422,M,1
36,adj_Monitor6_ch32,Day,0.303703703703704,53328,F,1
37,adj_Monitor1_ch11,Day,0.792824074074074,67422,M,1
38,adj_Monitor60_ch2,Day,0.681481481481481,66945,M,1
39,adj_Monitor60_ch1,Day,0.556944444444444,66945,M,1
40,adj_Monitor75_ch17,Day,0.750231481481481,55690,M,1
41,adj_Monitor77_ch31,Day,0.338425925925926,64498,F,1
42,adj_Monitor60_ch20,Day,0.87962962962963,66945,M,1
43,adj_Monitor75_ch9,Day,0.67962962962963,55690,M,1
44,adj_Monitor2_ch14,Day,0.628009259259259,53328,M,1
45,adj_Monitor58_ch12,Day,0.496759259259259,62872,F,1
46,adj_Monitor60_ch3,Day,0.824768518518519,66945,M,1
47,adj_Monitor5_ch3,Day,0.68287037037037,80387,F,1
48,adj_Monitor1_ch14,Day,0.842592592592593,67422,M,1
49,adj_Monitor54_ch10,Day,0.528703703703704,82983,F,1
50,adj_Monitor18_ch28,Day,0.671759259259259,80387,M,1
51,adj_Monitor5_ch17,Day,0.708101851851852,80387,F,1
52,adj_Monitor15_ch26,Day,0.599074074074074,57380,M,1
53,adj_Monitor58_ch2,Day,0.431481481481481,62872,F,1
54,adj_Monitor6_ch8,Day,0.26412037037037,53328,F,1
55,adj_Monitor7_ch21,Day,0.615972222222222,TRiPsc,F,1
56,adj_Monitor2_ch15,Day,0.586805555555556,53328,M,1
57,adj_Monitor17_ch10,Day,0.595601851851852,82983,M,1
58,adj_Monitor8_ch14,Day,0.631481481481482,56014,M,1
59,adj_Monitor6_ch12,Day,0.463888888888889,53328,F,1
60,adj_Monitor56_ch13,Day,0.553703703703704,62872,M,1
61,adj_Monitor67_ch2,Day,0.443981481481481,57713,F,1
62,adj_Monitor20_ch31,Day,0.867824074074074,57713,M,1
63,adj_Monitor75_ch16,Day,0.726157407407407,55690,M,1
64,adj_Monitor16_ch2,Day,0.442824074074074,67422,F,1
65,adj_Monitor16_ch29,Day,0.46712962962963,67422,F,1
66,adj_Monitor77_ch17,Day,0.284953703703704,64498,F,1
67,adj_Monitor7_ch22,Day,0.630787037037037,TRiPsc,F,1
68,adj_Monitor77_ch30,Day,0.234722222222222,64498,F,1
69,adj_Monitor22_ch18,Day,0.685648148148148,64498,M,1
70,adj_Monitor2_ch21,Day,0.590972222222222,53328,M,1
71,adj_Monitor17_ch2,Day,0.594212962962963,82983,M,1
72,adj_Monitor60_ch16,Day,0.741203703703704,66945,M,1
73,adj_Monitor60_ch28,Day,0.749768518518519,66945,M,1
74,adj_Monitor2_ch3,Day,0.693518518518519,53328,M,1
75,adj_Monitor16_ch7,Day,0.485185185185185,67422,F,1
76,adj_Monitor77_ch7,Day,0.37962962962963,64498,F,1
77,adj_Monitor54_ch31,Day,0.583564814814815,82983,F,1
78,adj_Monitor18_ch10,Day,0.672453703703704,80387,M,1
79,adj_Monitor8_ch22,Day,0.588888888888889,56014,M,1
80,adj_Monitor18_ch31,Day,0.679861111111111,80387,M,1
81,adj_Monitor54_ch22,Day,0.653703703703704,82983,F,1
82,adj_Monitor72_ch18,Day,0.525694444444444,66945,F,1
83,adj_Monitor73_ch3,Day,0.742592592592593,57380,F,1
84,adj_Monitor5_ch8,Day,0.784490740740741,80387,F,1
85,adj_Monitor77_ch21,Day,0.686574074074074,64498,F,1
86,adj_Monitor24_ch30,Day,0.648842592592593,TRiPsc,M,1
87,adj_Monitor54_ch25,Day,0.530555555555556,82983,F,1
88,adj_Monitor5_ch12,Day,0.758333333333333,80387,F,1
89,adj_Monitor54_ch28,Day,0.61087962962963,82983,F,1
90,adj_Monitor58_ch16,Day,0.321296296296296,62872,F,1
91,adj_Monitor8_ch30,Day,0.676851851851852,56014,M,1
92,adj_Monitor67_ch15,Day,0.561111111111111,57713,F,1
93,adj_Monitor2_ch18,Day,0.628472222222222,53328,M,1
94,adj_Monitor6_ch5,Day,0.622916666666667,53328,F,1
95,adj_Monitor77_ch8,Day,0.261111111111111,64498,F,1
96,adj_Monitor16_ch12,Day,0.643981481481481,67422,F,1
97,adj_Monitor54_ch15,Day,0.565046296296296,82983,F,1
98,adj_Monitor67_ch23,Day,0.578703703703704,57713,F,1
99,adj_Monitor1_ch32,Day,0.777083333333333,67422,M,1
100,adj_Monitor8_ch6,Day,0.613657407407407,56014,M,1
101,adj_Monitor18_ch26,Day,0.826157407407407,80387,M,1
102,adj_Monitor5_ch31,Day,0.705324074074074,80387,F,1
103,adj_Monitor77_ch1,Day,0.409490740740741,64498,F,1
104,adj_Monitor54_ch17,Day,0.414583333333333,82983,F,1
105,adj_Monitor18_ch9,Day,0.734953703703704,80387,M,1
106,adj_Monitor18_ch11,Day,0.730787037037037,80387,M,1
107,adj_Monitor22_ch19,Day,0.58125,64498,M,1
108,adj_Monitor1_ch18,Day,0.91712962962963,67422,M,1
109,adj_Monitor77_ch10,Day,0.534722222222222,64498,F,1
110,adj_Monitor17_ch5,Day,0.672453703703704,82983,M,1
111,adj_Monitor58_ch26,Day,0.443518518518519,62872,F,1
112,adj_Monitor1_ch23,Day,0.897222222222222,67422,M,1
113,adj_Monitor73_ch28,Day,0.759027777777778,57380,F,1
114,adj_Monitor54_ch9,Day,0.479166666666667,82983,F,1
115,adj_Monitor17_ch22,Day,0.653935185185185,82983,M,1
116,adj_Monitor16_ch9,Day,0.711111111111111,67422,F,1
117,adj_Monitor24_ch5,Day,0.770833333333333,TRiPsc,M,1
118,adj_Monitor54_ch5,Day,0.661342592592593,82983,F,1
119,adj_Monitor18_ch1,Day,0.748842592592593,80387,M,1
