,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,51.50909090909091,57380,M,1
2,adj_Monitor15_ch10,120.54098360655738,57380,M,1
4,adj_Monitor15_ch11,87.0,57380,M,1
6,adj_Monitor15_ch12,143.68627450980392,57380,M,1
8,adj_Monitor15_ch13,51.76724137931034,57380,M,1
10,adj_Monitor15_ch14,123.12280701754386,57380,M,1
12,adj_Monitor15_ch15,61.84615384615385,57380,M,1
14,adj_Monitor15_ch16,50.653225806451616,57380,M,1
16,adj_Monitor15_ch17,58.5462962962963,57380,M,1
18,adj_Monitor15_ch18,93.27397260273973,57380,M,1
20,adj_Monitor15_ch19,83.22077922077922,57380,M,1
22,adj_Monitor15_ch2,47.56666666666667,57380,M,1
24,adj_Monitor15_ch20,39.59027777777778,57380,M,1
26,adj_Monitor15_ch21,74.73195876288659,57380,M,1
28,adj_Monitor15_ch22,47.276923076923076,57380,M,1
30,adj_Monitor15_ch23,145.7,57380,M,1
32,adj_Monitor15_ch24,81.72413793103448,57380,M,1
34,adj_Monitor15_ch25,83.45945945945945,57380,M,1
36,adj_Monitor15_ch26,49.5609756097561,57380,M,1
38,adj_Monitor15_ch27,79.6547619047619,57380,M,1
40,adj_Monitor15_ch28,88.0,57380,M,1
42,adj_Monitor15_ch29,81.16279069767442,57380,M,1
44,adj_Monitor15_ch3,79.17283950617283,57380,M,1
46,adj_Monitor15_ch30,75.77011494252874,57380,M,1
48,adj_Monitor15_ch31,100.19402985074628,57380,M,1
50,adj_Monitor15_ch32,64.83673469387755,57380,M,1
52,adj_Monitor15_ch4,63.673469387755105,57380,M,1
54,adj_Monitor15_ch5,66.64646464646465,57380,M,1
56,adj_Monitor15_ch6,52.23809523809524,57380,M,1
58,adj_Monitor15_ch7,68.21428571428571,57380,M,1
60,adj_Monitor15_ch8,74.59782608695652,57380,M,1
62,adj_Monitor15_ch9,103.90625,57380,M,1
64,adj_Monitor16_ch1,57.934065934065934,67422,F,1
66,adj_Monitor16_ch10,95.78260869565217,67422,F,1
68,adj_Monitor16_ch11,65.19791666666667,67422,F,1
70,adj_Monitor16_ch12,72.07142857142857,67422,F,1
72,adj_Monitor16_ch13,74.05882352941177,67422,F,1
74,adj_Monitor16_ch14,63.785714285714285,67422,F,1
76,adj_Monitor16_ch15,56.31428571428572,67422,F,1
78,adj_Monitor16_ch16,44.93939393939394,67422,F,1
80,adj_Monitor16_ch17,38.92198581560284,67422,F,1
82,adj_Monitor16_ch18,35.773972602739725,67422,F,1
84,adj_Monitor16_ch19,83.59756097560975,67422,F,1
86,adj_Monitor16_ch2,57.625,67422,F,1
88,adj_Monitor16_ch20,63.075268817204304,67422,F,1
90,adj_Monitor16_ch21,55.40952380952381,67422,F,1
92,adj_Monitor16_ch22,64.20238095238095,67422,F,1
94,adj_Monitor16_ch23,65.48314606741573,67422,F,1
96,adj_Monitor16_ch24,56.37078651685393,67422,F,1
98,adj_Monitor16_ch25,106.42857142857143,67422,F,1
100,adj_Monitor16_ch26,63.30120481927711,67422,F,1
102,adj_Monitor16_ch27,58.10891089108911,67422,F,1
104,adj_Monitor16_ch28,45.81481481481482,67422,F,1
106,adj_Monitor16_ch29,41.13492063492063,67422,F,1
108,adj_Monitor16_ch3,42.091603053435115,67422,F,1
110,adj_Monitor16_ch30,65.76842105263158,67422,F,1
112,adj_Monitor16_ch31,48.541666666666664,67422,F,1
114,adj_Monitor16_ch32,38.2442748091603,67422,F,1
116,adj_Monitor16_ch4,60.5360824742268,67422,F,1
118,adj_Monitor16_ch5,66.80898876404494,67422,F,1
120,adj_Monitor16_ch6,59.07692307692308,67422,F,1
122,adj_Monitor16_ch7,54.64356435643565,67422,F,1
124,adj_Monitor16_ch8,131.24,67422,F,1
126,adj_Monitor16_ch9,61.262135922330096,67422,F,1
128,adj_Monitor17_ch1,122.26229508196721,82983,M,1
130,adj_Monitor17_ch10,45.96747967479675,82983,M,1
132,adj_Monitor17_ch11,114.57627118644068,82983,M,1
134,adj_Monitor17_ch12,112.38333333333334,82983,M,1
136,adj_Monitor17_ch13,74.925,82983,M,1
138,adj_Monitor17_ch14,97.43835616438356,82983,M,1
140,adj_Monitor17_ch15,155.5,82983,M,1
142,adj_Monitor17_ch16,81.35365853658537,82983,M,1
144,adj_Monitor17_ch17,53.28971962616822,82983,M,1
146,adj_Monitor17_ch18,207.91176470588235,82983,M,1
148,adj_Monitor17_ch19,43.30232558139535,82983,M,1
150,adj_Monitor17_ch2,72.87058823529412,82983,M,1
152,adj_Monitor17_ch21,84.29761904761905,82983,M,1
154,adj_Monitor17_ch22,55.6,82983,M,1
156,adj_Monitor17_ch23,94.74285714285715,82983,M,1
158,adj_Monitor17_ch24,62.54945054945055,82983,M,1
160,adj_Monitor17_ch25,45.78333333333333,82983,M,1
162,adj_Monitor17_ch26,82.47560975609755,82983,M,1
164,adj_Monitor17_ch27,57.52336448598131,82983,M,1
166,adj_Monitor17_ch28,80.90588235294118,82983,M,1
168,adj_Monitor17_ch29,118.05357142857143,82983,M,1
170,adj_Monitor17_ch3,57.495327102803735,82983,M,1
172,adj_Monitor17_ch30,87.75,82983,M,1
174,adj_Monitor17_ch31,43.12781954887218,82983,M,1
176,adj_Monitor17_ch32,44.32846715328467,82983,M,1
178,adj_Monitor17_ch4,53.52777777777778,82983,M,1
180,adj_Monitor17_ch5,68.35555555555555,82983,M,1
182,adj_Monitor17_ch6,88.73076923076923,82983,M,1
184,adj_Monitor17_ch7,70.65882352941176,82983,M,1
186,adj_Monitor17_ch8,89.25974025974025,82983,M,1
188,adj_Monitor17_ch9,96.76470588235294,82983,M,1
190,adj_Monitor18_ch1,73.4888888888889,80387,M,1
192,adj_Monitor18_ch10,88.42465753424658,80387,M,1
194,adj_Monitor18_ch11,77.43181818181819,80387,M,1
196,adj_Monitor18_ch12,47.51282051282051,80387,M,1
198,adj_Monitor18_ch13,64.02061855670104,80387,M,1
200,adj_Monitor18_ch14,56.33050847457627,80387,M,1
202,adj_Monitor18_ch15,103.15384615384616,80387,M,1
204,adj_Monitor18_ch16,76.37037037037037,80387,M,1
206,adj_Monitor18_ch17,63.625,80387,M,1
208,adj_Monitor18_ch18,74.75,80387,M,1
210,adj_Monitor18_ch19,70.34408602150538,80387,M,1
212,adj_Monitor18_ch2,78.56962025316456,80387,M,1
214,adj_Monitor18_ch20,51.95967741935484,80387,M,1
216,adj_Monitor18_ch21,60.431372549019606,80387,M,1
218,adj_Monitor18_ch22,60.138888888888886,80387,M,1
220,adj_Monitor18_ch23,61.626168224299064,80387,M,1
222,adj_Monitor18_ch24,93.9342105263158,80387,M,1
224,adj_Monitor18_ch26,68.57843137254902,80387,M,1
226,adj_Monitor18_ch27,75.27083333333333,80387,M,1
228,adj_Monitor18_ch28,51.26829268292683,80387,M,1
230,adj_Monitor18_ch29,66.44660194174757,80387,M,1
