,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,25.40449438202247,57380,M,1
2,adj_Monitor15_ch10,85.18604651162791,57380,M,1
4,adj_Monitor15_ch11,67.0,57380,M,1
6,adj_Monitor15_ch12,84.53658536585365,57380,M,1
8,adj_Monitor15_ch13,27.620689655172413,57380,M,1
10,adj_Monitor15_ch14,92.78125,57380,M,1
12,adj_Monitor15_ch15,38.74285714285714,57380,M,1
14,adj_Monitor15_ch16,25.54,57380,M,1
16,adj_Monitor15_ch17,37.082191780821915,57380,M,1
18,adj_Monitor15_ch18,57.30769230769231,57380,M,1
20,adj_Monitor15_ch19,67.47727272727273,57380,M,1
22,adj_Monitor15_ch2,27.022727272727273,57380,M,1
24,adj_Monitor15_ch20,23.372549019607842,57380,M,1
26,adj_Monitor15_ch21,60.671875,57380,M,1
28,adj_Monitor15_ch22,26.30952380952381,57380,M,1
30,adj_Monitor15_ch23,102.73529411764706,57380,M,1
32,adj_Monitor15_ch24,57.19298245614035,57380,M,1
34,adj_Monitor15_ch25,62.92857142857143,57380,M,1
36,adj_Monitor15_ch26,28.732558139534884,57380,M,1
38,adj_Monitor15_ch27,71.38636363636364,57380,M,1
40,adj_Monitor15_ch28,49.932203389830505,57380,M,1
42,adj_Monitor15_ch29,64.58823529411765,57380,M,1
44,adj_Monitor15_ch3,46.5,57380,M,1
46,adj_Monitor15_ch30,48.246153846153845,57380,M,1
48,adj_Monitor15_ch31,53.66101694915254,57380,M,1
50,adj_Monitor15_ch32,30.773333333333333,57380,M,1
52,adj_Monitor15_ch4,31.256756756756758,57380,M,1
54,adj_Monitor15_ch5,36.075,57380,M,1
56,adj_Monitor15_ch6,28.242105263157896,57380,M,1
58,adj_Monitor15_ch7,33.63855421686747,57380,M,1
60,adj_Monitor15_ch8,53.85,57380,M,1
62,adj_Monitor15_ch9,79.775,57380,M,1
64,adj_Monitor16_ch1,23.670731707317074,67422,F,1
66,adj_Monitor16_ch10,55.07017543859649,67422,F,1
68,adj_Monitor16_ch11,27.17241379310345,67422,F,1
