,Channel,bout_length,No,Sex,Rep
0,adj_Monitor15_ch1,162.14285714285714,57380,M,1
2,adj_Monitor15_ch10,205.0,57380,M,1
4,adj_Monitor15_ch11,113.06060606060606,57380,M,1
6,adj_Monitor15_ch12,386.2,57380,M,1
8,adj_Monitor15_ch13,124.20689655172414,57380,M,1
10,adj_Monitor15_ch14,161.96,57380,M,1
12,adj_Monitor15_ch15,109.41176470588235,57380,M,1
14,adj_Monitor15_ch16,155.29166666666666,57380,M,1
16,adj_Monitor15_ch17,103.31428571428572,57380,M,1
18,adj_Monitor15_ch18,182.33333333333334,57380,M,1
20,adj_Monitor15_ch19,104.21212121212122,57380,M,1
22,adj_Monitor15_ch2,104.0625,57380,M,1
24,adj_Monitor15_ch20,78.97619047619048,57380,M,1
26,adj_Monitor15_ch21,102.0,57380,M,1
28,adj_Monitor15_ch22,85.56521739130434,57380,M,1
30,adj_Monitor15_ch23,237.0,57380,M,1
32,adj_Monitor15_ch24,128.33333333333334,57380,M,1
34,adj_Monitor15_ch25,110.40625,57380,M,1
36,adj_Monitor15_ch26,97.97297297297297,57380,M,1
38,adj_Monitor15_ch27,88.75,57380,M,1
40,adj_Monitor15_ch28,206.21052631578948,57380,M,1
42,adj_Monitor15_ch29,105.31428571428572,57380,M,1
44,adj_Monitor15_ch3,161.56521739130434,57380,M,1
46,adj_Monitor15_ch30,157.0909090909091,57380,M,1
48,adj_Monitor15_ch31,443.375,57380,M,1
50,adj_Monitor15_ch32,175.91304347826087,57380,M,1
52,adj_Monitor15_ch4,163.625,57380,M,1
54,adj_Monitor15_ch5,195.3684210526316,57380,M,1
56,adj_Monitor15_ch6,125.7741935483871,57380,M,1
58,adj_Monitor15_ch7,259.53333333333336,57380,M,1
60,adj_Monitor15_ch8,113.5,57380,M,1
62,adj_Monitor15_ch9,144.125,57380,M,1
64,adj_Monitor16_ch1,370.1111111111111,67422,F,1
66,adj_Monitor16_ch10,289.1666666666667,67422,F,1
68,adj_Monitor16_ch11,432.77777777777777,67422,F,1
70,adj_Monitor16_ch12,169.7,67422,F,1
72,adj_Monitor16_ch13,290.0,67422,F,1
74,adj_Monitor16_ch14,203.94444444444446,67422,F,1
76,adj_Monitor16_ch15,117.87878787878788,67422,F,1
78,adj_Monitor16_ch16,118.16666666666667,67422,F,1
80,adj_Monitor16_ch17,68.15094339622641,67422,F,1
82,adj_Monitor16_ch18,53.75409836065574,67422,F,1
84,adj_Monitor16_ch19,272.73333333333335,67422,F,1
86,adj_Monitor16_ch2,151.6,67422,F,1
88,adj_Monitor16_ch20,66.6,67422,F,1
90,adj_Monitor16_ch21,110.06666666666666,67422,F,1
92,adj_Monitor16_ch22,342.1,67422,F,1
94,adj_Monitor16_ch23,181.7,67422,F,1
96,adj_Monitor16_ch24,276.0,67422,F,1
98,adj_Monitor16_ch25,319.1818181818182,67422,F,1
100,adj_Monitor16_ch26,234.9375,67422,F,1
102,adj_Monitor16_ch27,126.34615384615384,67422,F,1
104,adj_Monitor16_ch28,187.23529411764707,67422,F,1
106,adj_Monitor16_ch29,59.05263157894737,67422,F,1
108,adj_Monitor16_ch3,76.92682926829268,67422,F,1
110,adj_Monitor16_ch30,267.6923076923077,67422,F,1
112,adj_Monitor16_ch31,85.5,67422,F,1
114,adj_Monitor16_ch32,55.0,67422,F,1
116,adj_Monitor16_ch4,303.8181818181818,67422,F,1
118,adj_Monitor16_ch5,492.14285714285717,67422,F,1
120,adj_Monitor16_ch6,83.53333333333333,67422,F,1
122,adj_Monitor16_ch7,107.75757575757575,67422,F,1
124,adj_Monitor16_ch8,299.1666666666667,67422,F,1
126,adj_Monitor16_ch9,160.57142857142858,67422,F,1
128,adj_Monitor17_ch1,185.45,82983,M,1
130,adj_Monitor17_ch10,103.6774193548387,82983,M,1
132,adj_Monitor17_ch11,278.9230769230769,82983,M,1
134,adj_Monitor17_ch12,171.68421052631578,82983,M,1
136,adj_Monitor17_ch13,186.61111111111111,82983,M,1
138,adj_Monitor17_ch14,117.0625,82983,M,1
140,adj_Monitor17_ch15,179.8235294117647,82983,M,1
142,adj_Monitor17_ch16,169.9047619047619,82983,M,1
144,adj_Monitor17_ch17,165.2,82983,M,1
146,adj_Monitor17_ch18,330.3636363636364,82983,M,1
148,adj_Monitor17_ch19,73.29787234042553,82983,M,1
150,adj_Monitor17_ch2,143.0,82983,M,1
152,adj_Monitor17_ch21,127.0,82983,M,1
154,adj_Monitor17_ch22,126.63636363636364,82983,M,1
156,adj_Monitor17_ch23,129.23076923076923,82983,M,1
158,adj_Monitor17_ch24,185.5,82983,M,1
160,adj_Monitor17_ch25,125.17241379310344,82983,M,1
162,adj_Monitor17_ch26,147.23076923076923,82983,M,1
164,adj_Monitor17_ch27,64.53846153846153,82983,M,1
166,adj_Monitor17_ch28,126.9,82983,M,1
168,adj_Monitor17_ch29,224.52941176470588,82983,M,1
170,adj_Monitor17_ch3,81.03030303030303,82983,M,1
172,adj_Monitor17_ch30,230.06666666666666,82983,M,1
174,adj_Monitor17_ch31,79.5,82983,M,1
176,adj_Monitor17_ch32,96.47058823529412,82983,M,1
178,adj_Monitor17_ch4,120.64285714285714,82983,M,1
180,adj_Monitor17_ch5,159.0,82983,M,1
182,adj_Monitor17_ch6,247.0,82983,M,1
184,adj_Monitor17_ch7,136.15384615384616,82983,M,1
186,adj_Monitor17_ch8,111.24242424242425,82983,M,1
188,adj_Monitor17_ch9,157.45454545454547,82983,M,1
190,adj_Monitor18_ch1,203.2941176470588,80387,M,1
192,adj_Monitor18_ch10,335.0,80387,M,1
194,adj_Monitor18_ch11,289.0,80387,M,1
196,adj_Monitor18_ch12,93.88571428571429,80387,M,1
198,adj_Monitor18_ch13,138.76923076923077,80387,M,1
200,adj_Monitor18_ch14,71.77083333333333,80387,M,1
202,adj_Monitor18_ch15,241.26666666666668,80387,M,1
204,adj_Monitor18_ch16,272.53846153846155,80387,M,1
206,adj_Monitor18_ch17,184.38095238095238,80387,M,1
208,adj_Monitor18_ch18,191.44444444444446,80387,M,1
210,adj_Monitor18_ch19,130.59259259259258,80387,M,1
212,adj_Monitor18_ch2,126.22222222222223,80387,M,1
214,adj_Monitor18_ch20,86.4047619047619,80387,M,1
216,adj_Monitor18_ch21,108.125,80387,M,1
218,adj_Monitor18_ch22,112.57575757575758,80387,M,1
220,adj_Monitor18_ch23,135.53571428571428,80387,M,1
222,adj_Monitor18_ch24,189.85,80387,M,1
224,adj_Monitor18_ch26,97.38888888888889,80387,M,1
226,adj_Monitor18_ch27,150.14814814814815,80387,M,1
228,adj_Monitor18_ch28,145.5,80387,M,1
230,adj_Monitor18_ch29,126.07407407407408,80387,M,1
232,adj_Monitor18_ch3,46.44615384615385,80387,M,1
234,adj_Monitor18_ch30,191.61111111111111,80387,M,1
236,adj_Monitor18_ch31,104.25714285714285,80387,M,1
238,adj_Monitor18_ch32,258.8,80387,M,1
240,adj_Monitor18_ch4,219.71428571428572,80387,M,1
242,adj_Monitor18_ch5,86.02631578947368,80387,M,1
244,adj_Monitor18_ch6,209.1578947368421,80387,M,1
246,adj_Monitor18_ch7,96.41666666666667,80387,M,1
248,adj_Monitor18_ch8,105.87878787878788,80387,M,1
250,adj_Monitor18_ch9,125.96969696969697,80387,M,1
252,adj_Monitor1_ch1,143.48275862068965,67422,M,1
254,adj_Monitor1_ch11,124.56666666666666,67422,M,1
