,Channel,Bout_Count,No,Sex,Rep
0,adj_Monitor15_ch1,18.333333333333332,57380,M,1
318,adj_Monitor15_ch10,10.166666666666666,57380,M,1
480,adj_Monitor15_ch11,12.666666666666666,57380,M,1
662,adj_Monitor15_ch12,8.5,57380,M,1
808,adj_Monitor15_ch13,19.333333333333332,57380,M,1
1148,adj_Monitor15_ch14,9.5,57380,M,1
1304,adj_Monitor15_ch15,17.333333333333332,57380,M,1
1578,adj_Monitor15_ch16,20.666666666666668,57380,M,1
1916,adj_Monitor15_ch17,18.0,57380,M,1
2220,adj_Monitor15_ch18,12.166666666666666,57380,M,1
2438,adj_Monitor15_ch19,12.833333333333334,57380,M,1
2620,adj_Monitor15_ch2,20.0,57380,M,1
2984,adj_Monitor15_ch20,24.0,57380,M,1
3358,adj_Monitor15_ch21,16.166666666666668,57380,M,1
3647,adj_Monitor15_ch22,21.666666666666668,57380,M,1
4022,adj_Monitor15_ch23,8.333333333333334,57380,M,1
4158,adj_Monitor15_ch24,14.5,57380,M,1
4380,adj_Monitor15_ch25,12.333333333333334,57380,M,1
4608,adj_Monitor15_ch26,20.5,57380,M,1
4952,adj_Monitor15_ch27,14.0,57380,M,1
5152,adj_Monitor15_ch28,13.0,57380,M,1
5352,adj_Monitor15_ch29,14.333333333333334,57380,M,1
5568,adj_Monitor15_ch3,13.5,57380,M,1
5794,adj_Monitor15_ch30,14.5,57380,M,1
6048,adj_Monitor15_ch31,11.166666666666666,57380,M,1
6224,adj_Monitor15_ch32,16.333333333333332,57380,M,1
6530,adj_Monitor15_ch4,16.333333333333332,57380,M,1
6776,adj_Monitor15_ch5,16.5,57380,M,1
7060,adj_Monitor15_ch6,21.0,57380,M,1
7392,adj_Monitor15_ch7,16.333333333333332,57380,M,1
7662,adj_Monitor15_ch8,15.333333333333334,57380,M,1
7912,adj_Monitor15_ch9,10.666666666666666,57380,M,1
8070,adj_Monitor16_ch1,15.166666666666666,67422,F,1
8436,adj_Monitor16_ch10,11.5,67422,F,1
8668,adj_Monitor16_ch11,16.0,67422,F,1
8994,adj_Monitor16_ch12,14.0,67422,F,1
9256,adj_Monitor16_ch13,14.166666666666666,67422,F,1
9510,adj_Monitor16_ch14,14.0,67422,F,1
9788,adj_Monitor16_ch15,17.5,67422,F,1
10134,adj_Monitor16_ch16,22.0,67422,F,1
10510,adj_Monitor16_ch17,23.5,67422,F,1
10968,adj_Monitor16_ch18,24.333333333333332,67422,F,1
11403,adj_Monitor16_ch19,13.666666666666666,67422,F,1
11670,adj_Monitor16_ch2,16.0,67422,F,1
12038,adj_Monitor16_ch20,15.5,67422,F,1
12306,adj_Monitor16_ch21,17.5,67422,F,1
12638,adj_Monitor16_ch22,14.0,67422,F,1
12998,adj_Monitor16_ch23,14.833333333333334,67422,F,1
13326,adj_Monitor16_ch24,14.833333333333334,67422,F,1
13684,adj_Monitor16_ch25,9.333333333333334,67422,F,1
13884,adj_Monitor16_ch26,13.833333333333334,67422,F,1
14206,adj_Monitor16_ch27,16.833333333333332,67422,F,1
14494,adj_Monitor16_ch28,18.0,67422,F,1
14892,adj_Monitor16_ch29,21.0,67422,F,1
15340,adj_Monitor16_ch3,21.833333333333332,67422,F,1
15738,adj_Monitor16_ch30,15.833333333333334,67422,F,1
16036,adj_Monitor16_ch31,20.0,67422,F,1
16426,adj_Monitor16_ch32,21.833333333333332,67422,F,1
16854,adj_Monitor16_ch4,16.166666666666668,67422,F,1
17158,adj_Monitor16_ch5,14.833333333333334,67422,F,1
17424,adj_Monitor16_ch6,17.333333333333332,67422,F,1
17696,adj_Monitor16_ch7,16.833333333333332,67422,F,1
18036,adj_Monitor16_ch8,8.333333333333334,67422,F,1
18190,adj_Monitor16_ch9,17.166666666666668,67422,F,1
18490,adj_Monitor17_ch1,10.166666666666666,82983,M,1
18642,adj_Monitor17_ch10,20.5,82983,M,1
19002,adj_Monitor17_ch11,9.833333333333334,82983,M,1
19180,adj_Monitor17_ch12,10.0,82983,M,1
19386,adj_Monitor17_ch13,13.333333333333334,82983,M,1
